mpp_er,PSZ2,MCXC,eROSITA,precision_eROSITA,found_eROSITA,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.0,1.0,0.42857142857142855,0.1315673289183223,0.3472584856396867,266,1.0,0.05221932114882506,40,0.5555555555555556,269,0.35117493472584854,766
0.05,1.0,0.42857142857142855,0.1315673289183223,0.3472584856396867,266,1.0,0.05221932114882506,40,0.5555555555555556,269,0.35117493472584854,766
0.1,1.0,0.42857142857142855,0.1315673289183223,0.3472584856396867,266,1.0,0.05221932114882506,40,0.5555555555555556,269,0.35117493472584854,766
0.15,1.0,0.42857142857142855,0.1315673289183223,0.3472584856396867,266,1.0,0.05221932114882506,40,0.5555555555555556,269,0.35117493472584854,766
0.2,1.0,0.42857142857142855,0.1315673289183223,0.3472584856396867,266,1.0,0.05221932114882506,40,0.5555555555555556,269,0.35117493472584854,766
0.25,1.0,0.42857142857142855,0.1315673289183223,0.3472584856396867,266,1.0,0.05221932114882506,40,0.5555555555555556,269,0.35117493472584854,766
0.3,1.0,0.4,0.1130242825607064,0.38879456706281834,229,1.0,0.06791171477079797,40,0.5333333333333333,232,0.3938879456706282,589
0.35,1.0,0.38571428571428573,0.09668874172185431,0.43891402714932126,194,1.0,0.09049773755656108,40,0.5222222222222223,197,0.4457013574660634,442
0.4,1.0,0.38571428571428573,0.08520971302428255,0.5089820359281437,170,1.0,0.11976047904191617,40,0.5222222222222223,172,0.5149700598802395,334
0.45,0.9655172413793104,0.37142857142857144,0.07549668874172186,0.5763358778625954,151,1.0,0.15267175572519084,40,0.5111111111111111,153,0.583969465648855,262
0.5,0.9482758620689655,0.37142857142857144,0.06578366445916115,0.631578947368421,132,1.0,0.19138755980861244,40,0.5111111111111111,133,0.6363636363636364,209
0.55,0.9137931034482759,0.32857142857142857,0.05518763796909492,0.6727272727272727,111,1.0,0.24242424242424243,40,0.4777777777777778,112,0.6787878787878788,165
0.6,0.8793103448275862,0.32857142857142857,0.04856512141280353,0.7716535433070866,98,1.0,0.31496062992125984,40,0.4777777777777778,99,0.7795275590551181,127
0.65,0.8793103448275862,0.32857142857142857,0.04150110375275938,0.803921568627451,82,1.0,0.39215686274509803,40,0.4777777777777778,83,0.8137254901960784,102
0.7,0.8103448275862069,0.3,0.03487858719646799,0.8846153846153846,69,0.925,0.47435897435897434,37,0.43333333333333335,70,0.8974358974358975,78
0.8,0.5862068965517241,0.3,0.02119205298013245,0.9534883720930233,41,0.75,0.6976744186046512,30,0.35555555555555557,41,0.9534883720930233,43
0.9,0.3793103448275862,0.22857142857142856,0.011479028697571744,1.0,23,0.55,0.9565217391304348,22,0.25555555555555554,23,1.0,23
0.95,0.27586206896551724,0.15714285714285714,0.0075055187637969095,1.0,16,0.4,1.0,16,0.17777777777777778,16,1.0,16
