mpp_er,PSZ2,MCXC,ACT,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.0,0.9310344827586207,0.5294117647058824,0.3445121951219512,0.9433962264150944,0.06544502617801047,50,0.3629242819843342,138,0.1806282722513089,764
0.05,0.9310344827586207,0.5294117647058824,0.3445121951219512,0.9433962264150944,0.06544502617801047,50,0.3629242819843342,138,0.1806282722513089,764
0.1,0.9310344827586207,0.5294117647058824,0.3445121951219512,0.9433962264150944,0.06544502617801047,50,0.3629242819843342,138,0.1806282722513089,764
0.15,0.9310344827586207,0.5294117647058824,0.3445121951219512,0.9433962264150944,0.06544502617801047,50,0.3629242819843342,138,0.1806282722513089,764
0.2,0.9310344827586207,0.5294117647058824,0.3445121951219512,0.9433962264150944,0.06544502617801047,50,0.3629242819843342,138,0.1806282722513089,764
0.25,0.9310344827586207,0.5294117647058824,0.3445121951219512,0.9433962264150944,0.06544502617801047,50,0.3629242819843342,138,0.1806282722513089,764
0.3,0.9310344827586207,0.5294117647058824,0.3079268292682927,0.9433962264150944,0.08787346221441125,50,0.33159268929503916,126,0.22144112478031636,569
0.35,0.9310344827586207,0.5,0.2804878048780488,0.9433962264150944,0.11627906976744186,50,0.30548302872062666,116,0.26976744186046514,430
0.4,0.9137931034482759,0.5147058823529411,0.2652439024390244,0.9433962264150944,0.1488095238095238,50,0.2924281984334204,111,0.33035714285714285,336
0.45,0.896551724137931,0.5,0.24695121951219512,0.9245283018867925,0.1814814814814815,49,0.27154046997389036,103,0.3814814814814815,270
0.5,0.8793103448275862,0.47058823529411764,0.22865853658536586,0.9056603773584906,0.2171945701357466,48,0.25326370757180156,97,0.43891402714932126,221
0.55,0.8620689655172413,0.4411764705882353,0.21341463414634146,0.9056603773584906,0.2696629213483146,48,0.2349869451697128,89,0.5,178
0.6,0.8620689655172413,0.4411764705882353,0.18292682926829268,0.9056603773584906,0.3609022556390977,48,0.20887728459530025,78,0.5864661654135338,133
0.65,0.8275862068965517,0.39705882352941174,0.1402439024390244,0.8679245283018868,0.4842105263157895,46,0.16449086161879894,64,0.6736842105263158,95
0.7,0.8103448275862069,0.38235294117647056,0.13719512195121952,0.8490566037735849,0.569620253164557,45,0.1566579634464752,61,0.7721518987341772,79
0.8,0.6896551724137931,0.35294117647058826,0.09451219512195122,0.7358490566037735,0.75,39,0.12010443864229765,46,0.8846153846153846,52
0.9,0.5344827586206896,0.3088235294117647,0.07317073170731707,0.5849056603773585,0.8857142857142857,31,0.08877284595300261,33,0.9428571428571428,35
0.95,0.3793103448275862,0.22058823529411764,0.054878048780487805,0.41509433962264153,1.0,22,0.057441253263707574,22,1.0,22
