RA,DEC,z,M500
351.5252235739189,-24.120654148509225,0.088,2.2162871
299.29833199026746,-3.6387063015862107,-1.0,0.0
304.0323133608855,-5.984018272715995,-1.0,0.0
213.63482417538955,27.055502038847905,0.4809655,7.0587535
270.8099351314955,11.2055219269084,-1.0,0.0
327.61754418771966,-16.399162266623723,0.263,5.1732
262.9725511140075,15.677847300726498,0.0836,2.4751568
327.98874348584894,-15.613351980330256,0.0614,1.9561142
357.4653192444518,-24.755254698179172,0.243501,3.8967304
340.76980372503556,-20.16404354492484,0.1359,3.1919398
211.69322098899303,27.72994038669689,0.56644744,5.6912227
321.75144413127316,-12.161665094165599,0.176,5.91514
268.9272196340413,14.361966503551303,-1.0,0.0
334.2369493852516,-17.407614073909222,0.1301,3.476531
209.81625986776064,27.965074011931875,0.0612,2.5706658
324.2706321027025,-13.096334776037263,-1.0,0.0
250.79793483002248,21.54379218010383,0.1535,3.1695728
207.36219785455464,28.094609440199044,0.0748,2.6266818
348.1084422471839,-21.550734897084247,0.1108,2.709744
259.46648005040055,19.692547727192107,0.178,5.5870614
266.8049624148495,17.1309217108422,0.479,5.8289843
223.383123552741,28.121746931138194,0.25684053,4.272891
271.06985332502285,15.997300216588593,0.458,7.0290546
253.62425876122438,22.59087219285188,0.1811,3.4307153
270.64339981012023,16.401395339420038,-1.0,0.0
230.61707058688194,27.694719997263643,0.0723,4.0811195
5.172474391580219,-25.71380569804603,0.141,4.259752
324.1836114621581,-10.296616587968675,-1.0,0.0
341.1382435923269,-17.716885955166735,0.1325,3.0336268
239.60047098092767,27.21225338699129,0.0894,8.771307
235.75445710109628,27.83331009867942,-1.0,0.0
347.1738916303127,-19.918404058877833,0.0829,2.56931
306.2812057381181,0.5188418500982125,0.2746,5.65164
333.7654655681778,-13.987667427718323,0.5027,8.3592825
279.16410703375215,15.080479214639187,-1.0,0.0
259.3115245632781,23.059838841306732,0.1603,3.2388365
326.47204691715757,-10.092421632492929,0.0808,2.80474
217.99583896954275,29.556653895255447,0.2191,4.8253675
274.0145936855048,17.762165091870656,-1.0,0.0
322.35443723402994,-7.708921656294688,0.594,7.6505103
272.0322170335066,18.87429080234429,-1.0,0.0
296.3535002875337,7.074746046827916,-1.0,0.0
321.31990994660583,-6.978136166007212,0.1153,2.8074892
273.534871113341,18.292842108067436,0.24,4.112292
229.58737228308627,29.469574772377342,0.611,7.0295334
312.53488290859957,-1.5905274881760787,-1.0,0.0
262.9273037276282,22.875126724746174,0.389,8.269269
259.28106821146565,24.064567855574296,0.569,6.3945403
352.4470699823104,-21.169896975717258,0.1431,3.0176709
295.1839417509767,8.686048414447153,-1.0,0.0
278.24918269491883,17.192043925947235,-1.0,0.0
332.56931394746215,-12.177721765206838,0.0846,4.3896804
231.04689278365709,29.91287469103654,0.1145,5.30745
252.5786972999048,27.035119376981868,0.24,4.1945114
281.7441111655013,16.843164436863752,-1.0,0.0
342.12059586101503,-16.108442734213188,0.2472,4.6103444
342.75836540266715,-16.40015037388401,0.1221,3.364438
330.57305930887617,-9.88946814552334,0.0809,2.1106946
263.56486816482345,24.544346940634675,0.73608,6.134852
230.31608617367962,30.62782830575051,0.0777,3.589891
347.4397250833755,-18.310016321628666,0.42,5.59969
335.05233874066704,-12.197532388473515,0.544,7.330888
304.8894449753626,5.482946455199904,-1.0,0.0
255.53505095184119,27.14668093663736,-1.0,0.0
