RA,DEC,max_pred,galmask,psmask,CO_mask,mpp_er
65.9093277749207,15.7996335616659,5.000039,0,1,0,0.27085685128621895
146.452714652552,-10.044694790087698,5.0001440000000015,1,0,1,0.27085746980808695
99.6359689642404,-51.5024299496583,5.000328,1,1,1,0.27085855369402706
271.903475917859,60.487588325036704,5.000338,1,1,1,0.27085861260087163
175.41568835289902,39.959376176819,5.000418,1,1,1,0.2708590838556282
311.88184785737,-16.049779007223698,5.0004940000000015,1,1,1,0.27085953154764697
132.333265450954,29.438702416271,5.000616,1,1,1,0.27086025021115073
196.971621794617,-33.9249364085168,5.000642,1,0,1,0.2708604033689466
182.020736147802,-17.880640440335103,5.0006900000000005,1,1,1,0.27086068612180053
195.642400330494,-7.563445056679112,5.00087,1,1,1,0.2708617464450028
164.537231646261,32.5060540016912,5.000883999999999,1,0,1,0.2708618289145852
194.25697340950802,29.105749196325196,5.0009190000000014,1,1,1,0.27086203508854123
161.678461577253,21.686582565953003,5.000962,1,1,1,0.2708622883879729
93.70534578119673,-41.7301751833171,5.001107,1,1,1,0.2708631425372192
69.7757460028553,81.16696153926159,5.001282,1,1,1,0.2708641734069992
127.773260296399,35.8593387480639,5.0014199999999995,1,1,1,0.2708649863214543
207.725462207774,-41.3966807944157,5.0015339999999995,1,1,1,0.2708656578594824
252.38274894094798,50.7841648715119,5.001607,1,1,1,0.27086608787944777
325.94644865644403,14.0091444487534,5.001736,0,0,0,0.2708668477777428
305.74755028358896,-2.10113706927193,5.001835,0,1,1,0.27086743095550403
181.513170356471,-22.906385930850305,5.001942,1,0,1,0.27086806125874097
30.2927880824238,3.0050429216626604,5.00214,1,1,1,0.27086922761426346
217.165644070559,1.44983812308261,5.002161,1,1,1,0.2708693513186371
338.840198465796,-5.55748785574297,5.0021889999999996,1,1,1,0.27086951625780187
24.626429467210396,-64.3883152688587,5.00226,1,1,1,0.27086993449639835
210.227748174318,-0.23241168832162198,5.0022660000000005,1,1,1,0.2708699698405051
334.794959888588,14.022507304953999,5.002325,1,0,1,0.27087031739088807
240.510002575756,78.7941611917505,5.002372,1,1,1,0.27087059425305754
166.712201818017,7.590375723598719,5.002439,1,0,1,0.2708709889289162
354.88114181560303,-29.2805299448979,5.002504,1,1,1,0.2708713718234059
30.946397066964998,-10.1666400516219,5.002634,1,1,1,0.2708721376123853
153.61409475253902,-8.737500192166621,5.002642,1,1,1,0.270872184737861
304.571675893075,-43.1630086665021,5.002664,1,1,1,0.27087231433291903
180.725586073398,87.522876931705,5.002697,0,0,0,0.27087250872550617
12.498681303336301,3.31031986645246,5.0027610000000005,1,1,1,0.2708728857293114
343.78147440235705,-55.67463293215901,5.002807,1,0,1,0.2708731567007964
267.032534249763,29.9213738551407,5.00283,1,1,1,0.27087329218653894
107.58056524890199,48.4826047857071,5.002873999999999,1,1,1,0.27087355137665503
278.80203492031,53.49172793843161,5.003037,1,1,1,0.27087451155822156
39.91226956232421,-57.519877582784005,5.003051999999999,1,1,1,0.27087459991848845
110.316541818639,-79.4372120463636,5.003127,0,1,0,0.27087504171982274
320.922229060012,12.7134537581841,5.0031620000000006,1,1,1,0.27087524789377876
30.0910332253427,-81.72576830688371,5.003211,0,1,1,0.2708755365373171
150.817962022184,-5.925681089119,5.00328,1,1,1,0.2708759429945447
295.16109287412496,-37.2827989669542,5.003297,0,1,0,0.27087604313618047
188.20187410812,25.567936981572103,5.003315,1,1,1,0.27087614916850067
335.34118882055697,-15.6197139324988,5.00336,1,0,1,0.27087641424930126
143.989088762642,36.972367296125995,5.003398000000002,1,1,1,0.27087663809531065
158.289763110494,62.358635928940494,5.00341,1,1,1,0.2708767087835241
26.2420292153749,27.672958510208503,5.003462,1,1,1,0.2708770150991159
122.81751683242399,69.4839872366464,5.003469,1,1,1,0.2708770563339071
73.2006858163728,9.29078777716375,5.003508999999998,0,1,0,0.27087729196128535
4.58413257697762,-78.64637942117,5.003538,1,1,1,0.2708774627911346
104.14477040985099,63.2030764436485,5.00381,1,1,1,0.27087906505730697
57.1930035681627,-49.65259544753921,5.004012,1,0,1,0.27088025497556734
10.9398392253514,-21.712851691271897,5.004052,1,0,1,0.2708804906029456
349.803980903221,2.7546634479399,5.0041459999999995,1,1,1,0.2708810443272846
323.640415063408,24.246842909374102,5.004151,0,1,1,0.2708810737807069
338.896227186246,-4.076375232439021,5.004238,1,1,1,0.27088158627025466
352.3940467556929,-78.8161557080301,5.004346,1,1,1,0.27088222246417604
165.70463846750098,-0.347834536101157,5.004435,1,1,1,0.2708827467350927
321.345332793769,-82.18987423285691,5.004508,0,0,0,0.27088317675505813
19.8483975301337,-43.3175252019419,5.004762,1,1,1,0.2708846729889102
288.371376846903,-38.467497690346,5.004982,0,0,0,0.2708859689394908
16.4745089647825,-18.6076478160009,5.0050930000000005,1,1,1,0.27088662280546555
264.133907888591,76.7142353361944,5.00514,1,1,1,0.2708868996676351
332.06401446987303,-45.468498596375895,5.005148999999999,1,1,1,0.27088695268379515
319.007968323773,-21.3456415729698,5.005167,1,1,1,0.2708870587161154
74.9931662882931,-67.69399466361361,5.005257,0,0,0,0.2708875888777166
23.6247616208593,-51.1866967624631,5.005269,1,1,1,0.27088765956593003
54.5396913745531,-60.2622129780051,5.005343,1,1,1,0.2708880954765799
185.48629986081505,77.46186583049841,5.005816,1,1,1,0.2708908817703281
31.1722432616465,0.8921116345819591,5.005903,1,1,1,0.2708913942598759
22.3443482515658,28.6700791591118,5.005948,1,1,1,0.2708916593406765
231.448391564138,26.3068661507917,5.005993,1,1,1,0.270891924421477
206.835201877873,24.5134832942174,5.006044,1,1,1,0.27089222484638437
54.642226049634104,25.87536520376911,5.006074,0,1,0,0.2708924015669181
196.282561134034,12.0233668998193,5.006089,1,1,1,0.27089248992718495
107.447994240182,-77.1437641396132,5.006104,0,1,0,0.2708925782874518
38.0567261919889,21.7940243671956,5.006169,0,0,0,0.2708929611819415
19.39908060793,-3.6420490441863,5.006225,1,0,1,0.2708932910602711
180.11759710830003,41.80651720033671,5.006346,1,1,1,0.2708940038330904
56.6197659201445,-26.2132845647575,5.006396,1,1,1,0.27089429836731327
64.7287247332416,17.680107139086,5.006528,0,1,0,0.27089507593766166
231.993928184078,-24.9475398121312,5.006531,0,1,0,0.27089509360971503
278.047261599838,45.0218265153135,5.00664,1,1,1,0.27089573569432085
149.532644628467,53.5151449958758,5.006813,1,1,1,0.27089675478273195
218.65223356173198,8.16108030916469,5.007073,1,0,1,0.2708982863606908
306.595894305749,-34.0324534903954,5.007111,1,1,1,0.2708985102067002
139.67223295506702,-0.901569303115886,5.007308,1,1,1,0.27089967067153825
158.400483774136,75.7059511079677,5.00749,1,0,1,0.2709007427761095
30.0773021888167,14.047010956840598,5.007505,1,1,1,0.2709008311363763
188.61618428212398,-15.9560267754139,5.007528,1,1,1,0.2709009666221188
160.204903763948,64.5704187971209,5.007584,1,1,1,0.2709012965004484
297.496620635815,-57.6297416157495,5.0076529999999995,1,1,1,0.27090170295767596
96.268586259509,-44.232744672099,5.007729,1,1,1,0.27090215064969475
289.581833436191,74.4740915576039,5.007778,0,1,0,0.27090243929323315
209.012408425156,-40.4001824404162,5.007843,1,1,1,0.2709028221877229
124.011733038843,7.09338907531878,5.007845,1,1,1,0.27090283396909176
63.22510917460861,10.754110719949901,5.007866,0,1,0,0.2709029576734654
214.823943657388,46.9733028654903,5.007892,1,0,1,0.27090311083126123
7.17900444158139,-21.09069675355461,5.007976,1,1,1,0.27090360564875565
185.85048694745097,-8.39126483722076,5.008066,1,1,1,0.2709041358103568
19.6634682472815,3.63789210490884,5.008113,1,1,1,0.2709044126725263
347.845473310845,16.408399201919803,5.008196,0,0,1,0.2709049015993362
161.925869969743,11.080623863076699,5.008349,1,0,1,0.2709058028740582
242.408583905636,54.8688158546315,5.008376,1,1,1,0.2709059619225385
142.389019204947,75.4941356627145,5.008397,1,1,1,0.27090608562691215
42.8792502548365,-32.5368182548032,5.008598,1,1,1,0.270907269654488
350.380161352862,-23.1929695751136,5.008642,1,1,1,0.2709075288446042
266.803738856264,71.3578149968928,5.008662999999999,1,1,1,0.27090765254897775
337.309876705919,-11.762568209510901,5.0086699999999995,1,1,1,0.27090769378376894
53.2656342323035,-22.231822516001,5.008677,1,1,1,0.27090773501856014
190.50802416748797,35.9598042189639,5.008743,1,1,1,0.2709081238037343
321.805547674103,-21.8791713344047,5.008859999999999,1,1,1,0.2709088130138158
273.242618714987,44.19809752599011,5.009077,1,0,1,0.270910091292343
111.00597555033998,-66.6812030411632,5.009146,0,0,0,0.2709104977495706
188.73069512137297,51.466347666722896,5.009194,1,1,1,0.2709107805024245
51.9631434464709,30.6030995824012,5.009309,0,0,0,0.2709114579311371
132.007607727995,62.86111210397601,5.009345,0,1,0,0.27091166999577754
329.600840536092,-3.897218865299061,5.009422,1,1,1,0.27091212357848077
181.057245632808,28.117338261159897,5.009664,1,1,1,0.2709135491241194
45.125006080052394,-40.673466697095606,5.00969,1,1,1,0.2709137022819153
250.26258718374802,24.142893681603,5.0098769999999995,1,1,1,0.2709148038399088
252.756951668582,27.115720127453603,5.009945,1,0,0,0.2709152044064519
44.5738891720864,18.8906567974505,5.010014,0,0,0,0.27091561086367943
283.338448170193,-61.9508645723619,5.010108,1,1,1,0.27091616458801837
144.564540495316,-8.911454092179438,5.010171,1,1,1,0.2709165357011392
305.458527962106,-52.948821577259395,5.010207,1,1,1,0.2709167477657797
26.8800247989821,4.1697568219665495,5.010229,1,1,1,0.2709168773608377
144.215897327934,13.089385298704801,5.0102699999999984,1,1,1,0.27091711887890046
