RA,DEC,p_max,precisionX,s/n,id
80.73906345620142,-1.2987113981698124,0.1000016927719116,0.3129925488137969,9.563881,SZ_G203.64-20.20
149.79824293868134,54.08114112302866,0.1000037821941077,0.3129927716880091,-1.0,SZ_G160.26+48.65
64.81086251303341,-26.40203009012187,0.1000095635652542,0.3129933883745465,-1.0,SZ_G224.47-43.95
13.129393038107288,39.91839728034445,0.10002276673913,0.3129947967289618,-1.0,SZ_G123.16-22.95
55.77821530463897,77.16484438507722,0.1000386835075914,0.3129964945367277,-1.0,SZ_G132.06+17.45
263.347870898297,34.592383269556144,0.100049418862909,0.3129976396541974,-1.0,SZ_G059.02+30.24
285.9058711999818,-65.51119779972936,0.100050339475274,0.3129977378539561,-1.0,SZ_G330.29-25.76
211.9193186854203,36.31542078054012,0.1000603069551289,0.3129988010637869,-1.0,SZ_G067.28+71.42
146.54909713017864,25.32898319087517,0.1000621537677943,0.3129989980593576,-1.0,SZ_G204.57+48.65
244.4155708562184,35.77738728909876,0.1000632815994322,0.3129991183627545,-1.0,SZ_G057.49+45.69
231.39668239009552,-73.41323583436373,0.1000657486729324,0.3129993815202263,-1.0,SZ_G313.48-13.79
58.18161298968152,-56.55759791928453,0.1000660665333271,0.3129994154257171,-1.0,SZ_G268.23-46.50
90.569948151358,40.96832738696223,0.1000715072686944,0.312999995777362,-1.0,SZ_G171.25+08.97
15.755447288175654,11.829605839082555,0.1000766237931592,0.313000541546121,-1.0,SZ_G127.43-50.94
73.34471525883062,28.448046399945003,0.1000814125873148,0.3130010523565865,-1.0,SZ_G173.85-09.69
50.136788794425286,15.144467850017648,0.1000826139934361,0.3130011805080167,-1.0,SZ_G168.02-34.36
28.23181946571308,28.04686260582749,0.10009445855394,0.3130024439420394,-1.0,SZ_G139.11-32.89
64.76311931434246,25.13933290210279,0.1001057578250765,0.3130036492112076,-1.0,SZ_G171.32-17.66
29.419783782693404,73.60244508279574,0.100109092425555,0.3130040049059331,-1.0,SZ_G127.64+11.34
359.0800303196728,47.04907277646413,0.1001111175864934,0.3130042209255339,-1.0,SZ_G113.27-14.79
70.12618512153422,-62.8544357816591,0.1001116509238879,0.3130042778154969,-1.0,SZ_G273.47-38.71
143.05513382576896,47.2403294250775,0.100117115303874,0.313004860689263,-1.0,SZ_G171.75+46.45
25.31608424316597,11.364625659940462,0.1001255683600902,0.3130057623587522,-1.0,SZ_G142.00-49.65
207.6088667332241,20.29087660269084,0.1001290394924581,0.3130061326170433,-1.0,SZ_G009.20+74.88
10.79310654274431,-27.605131489619872,0.1001456963519255,0.3130079093687393,-1.0,SZ_G017.89-88.10
154.63342094020803,0.8853349619328655,0.1001721750944852,0.3130107337997697,-1.0,SZ_G242.04+44.92
328.7646555840172,0.5105704531487252,0.1001738859340548,0.3130109162913801,-1.0,SZ_G058.67-39.43
17.03098362768906,72.70891467790524,0.1001847460865974,0.3130120747207038,-1.0,SZ_G124.19+09.88
109.06482167579276,-5.012804916955993,0.100186220370233,0.3130122319793968,-1.0,SZ_G220.23+03.21
15.213235861439722,-22.27678478769329,0.1001876868302069,0.3130123884035565,-1.0,SZ_G147.22-84.70
359.48142215200164,32.18473315196861,0.1002027071081102,0.3130139905845854,-1.0,SZ_G109.95-29.33
