RA,DEC,area,min_rad,max_rad,mean_rad,min_pred,max_pred,tRA,tDEC,status,catalog,M500,z,pix2,mpp_er
80.73906345620142,-1.2987113981698124,1.0,0.0,1.4142135623730951,0.8535533905932737,0.10000169277191162,0.10000169277191162,,,fp,,,,train_pix,0.2528283652093575
149.79824293868134,54.08114112302866,1.0,0.0,1.4142135623730951,0.8535533905932737,0.10000378219410776,0.10000378219410776,,,fp,,,,train_pix,0.2528284641496745
64.81086251303341,-26.40203009012187,1.0,1.1368683772161605e-13,1.4142135623731755,0.8535533905933508,0.1000095635652542,0.1000095635652542,,,fp,,,,train_pix,0.2528287379146872
13.129393038107288,39.91839728034445,1.0,0.0,1.4142135623730951,0.8535533905932737,0.10002276673913002,0.10002276673913002,,,fp,,,,train_pix,0.2528293631239969
55.77821530463897,77.16484438507722,1.0,0.0,1.4142135623730951,0.8535533905932737,0.10003868350759147,0.10003868350759147,,,fp,,,,train_pix,0.2528301168300312
263.347870898297,34.592383269556144,1.0,0.0,1.4142135623730951,0.8535533905932737,0.10004941886290908,0.10004941886290908,,,fp,,,,train_pix,0.25283062518083765
285.9058711999818,-65.51119779972936,1.0,0.0,1.4142135623730951,0.8535533905932737,0.10005033947527407,0.10005033947527407,,,fp,,,,train_pix,0.25283066877455435
211.9193186854203,36.315420780540116,1.0,0.0,1.4142135623730951,0.8535533905932737,0.10006030695512892,0.10006030695512892,,,fp,,,,train_pix,0.2528311407641879
146.54909713017864,25.328983190875178,1.0,0.0,1.4142135623730951,0.8535533905932737,0.10006215376779436,0.10006215376779436,,,fp,,,,train_pix,0.2528312282162265
244.4155708562184,35.77738728909876,1.0,0.0,1.4142135623730951,0.8535533905932737,0.10006328159943224,0.10006328159943224,,,fp,,,,train_pix,0.25283128162238827
231.39668239009552,-73.41323583436373,1.0,0.0,1.4142135623730951,0.8535533905932737,0.1000657486729324,0.1000657486729324,,,fp,,,,train_pix,0.2528313984456108
58.18161298968152,-56.55759791928453,1.0,0.0,1.4142135623730951,0.8535533905932737,0.1000660665333271,0.1000660665333271,,,fp,,,,val_pix,0.2528314134972401
90.56994815135799,40.96832738696223,1.0,0.0,1.4142135623730951,0.8535533905932737,0.1000715072686944,0.1000715072686944,,,fp,,,,train_pix,0.2528316711321417
15.755447288175654,11.829605839082555,1.0,1.1368683772161605e-13,1.4142135623731755,0.8535533905933508,0.1000766237931592,0.1000766237931592,,,fp,,,,train_pix,0.25283191341469885
73.34471525883062,28.448046399945003,1.0,0.0,1.4142135623730951,0.8535533905932737,0.10008141258731484,0.10008141258731484,,,fp,,,,train_pix,0.2528321401782571
50.136788794425286,15.144467850017648,1.0,0.0,1.4142135623730951,0.8535533905932737,0.1000826139934361,0.1000826139934361,,,fp,,,,train_pix,0.2528321970683881
28.231819465713077,28.04686260582749,1.0,0.0,1.4142135623730951,0.8535533905932737,0.10009445855394006,0.10009445855394006,,,fp,,,,train_pix,0.2528327579433388
64.76311931434246,25.13933290210279,1.0,0.0,1.4142135623730951,0.8535533905932737,0.10010575782507658,0.10010575782507658,,,fp,,,,train_pix,0.2528332929972261
29.419783782693404,73.60244508279574,1.0,0.0,1.4142135623730951,0.8535533905932737,0.10010909242555499,0.10010909242555499,,,fp,,,,train_pix,0.25283345090041537
359.0800303196728,47.04907277646413,1.0,0.0,1.4142135623730951,0.8535533905932737,0.10011111758649348,0.10011111758649348,,,fp,,,,train_pix,0.2528335467977719
70.12618512153422,-62.8544357816591,1.0,0.0,1.4142135623730951,0.8535533905932737,0.1001116509238879,0.1001116509238879,,,fp,,,,train_pix,0.252833572052874
143.05513382576896,47.2403294250775,1.0,0.0,1.4142135623730951,0.8535533905932737,0.10011711530387404,0.10011711530387404,,,fp,,,,train_pix,0.2528338308074183
25.31608424316597,11.364625659940462,1.0,0.0,1.4142135623730951,0.8535533905932737,0.10012556836009026,0.10012556836009026,,,fp,,,,train_pix,0.2528342310846161
207.60886673322412,20.29087660269084,1.0,0.0,1.4142135623730951,0.8535533905932737,0.1001290394924581,0.1001290394924581,,,fp,,,,train_pix,0.2528343954529939
10.79310654274431,-27.605131489619872,1.0,0.0,1.4142135623730951,0.8535533905932737,0.10014569635192554,0.10014569635192554,,,fp,,,,train_pix,0.25283518420452494
154.63342094020803,0.8853349619328655,1.0,0.0,1.4142135623730951,0.8535533905932737,0.10017217509448527,0.10017217509448527,,,fp,,,,val_pix,0.2528364380512525
328.7646555840172,0.5105704531487252,1.0,0.0,1.4142135623730951,0.8535533905932737,0.10017388593405484,0.10017388593405484,,,fp,,,,train_pix,0.2528365190645631
17.03098362768906,72.70891467790524,1.0,0.0,1.4142135623730951,0.8535533905932737,0.10018474608659744,0.10018474608659744,,,fp,,,,train_pix,0.25283703332488705
109.06482167579277,-5.012804916955993,1.0,0.0,1.4142135623730951,0.8535533905932737,0.10018622037023306,0.10018622037023306,,,fp,,,,train_pix,0.252837103136575
15.213235861439722,-22.27678478769329,1.0,0.0,1.4142135623730951,0.8535533905932737,0.10018768683020696,0.10018768683020696,,,fp,,,,train_pix,0.25283717257778937
359.48142215200164,32.18473315196861,1.0,0.0,1.4142135623730951,0.8535533905932737,0.1002027071081102,0.1002027071081102,,,fp,,,,val_pix,0.25283788383234584
249.06301462543186,-63.874465564054134,1.0,0.0,1.4142135623730951,0.8535533905932737,0.10020275480290763,0.10020275480290763,,,fp,,,,train_pix,0.2528378860908355
267.34257888715,-4.470814071193463,1.0,0.0,1.4142135623730951,0.8535533905932737,0.10020382469519973,0.10020382469519973,,,fp,,,,train_pix,0.252837936753398
